"word","count"
"H8xZ8IFw3t",125
"greater",125
"election2016",125
"Abedin",125
"victory",125
"threats",125
"Still",125
"Mother",124
"ISIS",124
"ridiculous",124
"Conference",124
"likely",124
"build",124
"GlobalMoms",124
"loudly",124
"personal",124
"equality",124
"PEOPLE",124
"NotMeUs",124
"aurabogado",123
"👏🏻",123
"Presidency",123
"BernPress",123
"PJNET",123
"❤️🇺🇸❤️",122
"Mexican",122
"mail",122
"EstoyConElla",122
"REALWomanCard",122
"beacons",122
"Hill…",122
"Feel",122
"Hired",122
"Anti",122
"admits",122
"PatriotWomen",122
"special",122
"Franklin",122
"crush",121
"poor",121
"attacking",121
"GeorgeTakei",121
"AmbJohnBolton",121
"focused",121
"waste",120
"Tcot",120
"Queen",120
"bill",120
"Drumpf",120
"secretary",120
"above",120
"DumpTrump",120
"pyBlvi6kav",120
"PoliticalAnt",120
"choose",120
"immigration",120
"payer",120
"Politics",119
"politicians",119
"Warren",119
"Victimized",119
"investigating",119
"Obamacare",119
"TeeTweetsHere",119
"Ricky",119
"almost",119
"super",119
"asking",119
"weak",119
"Team",118
"accept",118
"knew",118
"w6zmSJqf…",118
"Kenwardjr",118
"delegate",118
"CMAGAdFacts",118
"indianaprimary2016",118
"Some",117
"represented",117
"BENGHAZI",117
"reporters",117
"HillaryForTheWin",117
"gdebenedetti",117
"debt",117
"CharlieHackett8",117
"Anyone",117
"learjetter",117
"equal",117
"conscience",116
"REAL",116
"quit",116
"Klan",116
"Fund",116
"Before",116
"Conn",116
"Country",116
"critical",116
"WinnersCampaign",116
"brought",116
"Everyone",116
"stands",116
"Primaries2016",116
"trolls",116
"cspan",115
"decide",115
"moment",115
"came",115
"insult",115
"Vaughn99",115
"blood",115
"bringing",115
"WHAT",115
"drdesrochers",114
"criminals",114
"Part",114
"Shows",114
"Florida",114
"twright55",114
"house",114
"Flip",114
"bowl",114
"allisonhpresley",114
"Seriously",114
"BobbyCzzzz",114
"yesterday",114
"PPact",114
"immigrant4trump",114
"hillaryClinton",114
"thousands",114
"racism",113
"OnlyTrump🚂💨",113
"deejay90192",113
"HELP",113
"works",113
"Speech",113
"90zdKPwvxU",113
"TheWall",113
"suffer",112
"smear",112
"small",112
"Delegates",112
"LGBT",112
"GerrishLisa",112
"each",112
"HRCNJVolunteers",112
"bought",112
"tough",112
"nervous",112
"andrewperezdc",112
"morning",112
"NicholsUprising",112
"week",112
"NYTnickc",111
"Vets4Bernie",111
"rhetoric",111
"crap",111
"Train",111
"WhichhHilllary",111
"response",111
"important",111
"Europe",110
"navy",110
"Lady",110
"Oklahoma",110
"VanSulli",110
"fine",110
"EVIL",110
"needed",110
"UltimateTennis",110
"agreements",110
"TravelingUS",110
"completely",110
"Always",110
"middle",110
"Bros4Hillary",110
"guilty",110
"eileendefreest",110
"demeaned",110
"Show",109
"NRCC",109
"notice",109
"HardcoreRep",109
"Final",109
"superdelegates",109
"MichaelLaRosaDC",109
"EricTrump",109
"blame",109
"majority",109
"daughters",109
"teacherappreciationday",108
"mama",108
"Vote4Hillary",108
"landslide",108
"remarks",108
"caught",108
"Power",108
"HillaryCli…",108
"neverhillary",108
"government",108
"skookerG",107
"amrightnow",107
"pass",107
"mess",107
"leez",107
"hoax",107
"cast",107
"BlackTwitter",107
"epdR…",107
"favor",107
"HillaryForPrision2016",107
"deported",106
"secure",106
"ReadyPrepare",106
"Early",106
"bassomar",106
"Reveals",106
"GovGaryJohnson",106
"changes",106
"trusted",106
"lobbyists",106
"found",106
"Supporters",106
"deserves",106
"🛇",106
"oligarch",105
"attention",105
"pays",105
"Lead",105
"early",105
"SDzzz",105
"COAL",105
"COUNTRY",105
"feminist",105
"abuse",105
